snapshot_id,page,listing_index,response_sha256,title,city,town,establishment_type,address,phone,website,approved_capacity,after_school,evaluation_status,record_count
2026-09-03-ntpc-full-v1,1,1,7a15896aa64afb6f03f2d659df82355b388e5af651a62a2983fd790591bafd26,新北市立萬里幼兒園,新北市,萬里區,公立,[207]瑪鋉路221號2樓,(02)24921670,https://wanlipreschool.blogspot.com/,105,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,1,2,7a15896aa64afb6f03f2d659df82355b388e5af651a62a2983fd790591bafd26,新北市萬里區萬里國民小學附設幼兒園,新北市,萬里區,公立,[207]瑪鋉路18號,(02)24922034#60,https://www.wlps.ntpc.edu.tw/index.php,106,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,1,3,7a15896aa64afb6f03f2d659df82355b388e5af651a62a2983fd790591bafd26,新北市萬里區大鵬國民小學附設幼兒園,新北市,萬里區,公立,[207]萬里加投14號,(02)24988131#37,核定人數： 30,30,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,1,4,7a15896aa64afb6f03f2d659df82355b388e5af651a62a2983fd790591bafd26,新北市萬里區野柳國民小學附設幼兒園,新北市,萬里區,公立,[207]港東路167號,(02)24922512#18,https://sites.google.com/a/ylps.ntpc.edu.tw/yelu18/,30,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,1,5,7a15896aa64afb6f03f2d659df82355b388e5af651a62a2983fd790591bafd26,新北市萬里區大坪國民小學附設幼兒園,新北市,萬里區,公立,[207]大坪路1號,(02)24929461#71,http://dpkg.weebly.com/,30,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,1,6,7a15896aa64afb6f03f2d659df82355b388e5af651a62a2983fd790591bafd26,新北市私立大鵬幼兒園,新北市,萬里區,私立,[207]萬里加投70之3號1、2樓,(02)24980811,核定人數： 216,216,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,1,7,7a15896aa64afb6f03f2d659df82355b388e5af651a62a2983fd790591bafd26,新北市私立天心幼兒園,新北市,萬里區,私立,[207]瑪鋉下街17號1、2樓,(02)24922742,tian.shin2742@gmail.com,50,無,+ 檢視前期評鑑,2
2026-09-03-ntpc-full-v1,1,8,7a15896aa64afb6f03f2d659df82355b388e5af651a62a2983fd790591bafd26,新北市金山區金山國民小學附設幼兒園美田分班,新北市,金山區,公立,[208]中山路236號,(02)24981125#301,核定人數： 55,55,無,尚未接受評鑑,0
2026-09-03-ntpc-full-v1,1,9,7a15896aa64afb6f03f2d659df82355b388e5af651a62a2983fd790591bafd26,新北市金山區三和國民小學附設幼兒園,新北市,金山區,公立,[208]六股林口38號,(02)24080417#15,新北市金山區三和國民小學,30,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,1,10,7a15896aa64afb6f03f2d659df82355b388e5af651a62a2983fd790591bafd26,新北市金山區中角國民小學附設幼兒園,新北市,金山區,公立,[208]海興路49號,(02)24986498,https://www.jjps.ntpc.edu.tw/p/412-1000-761.php,30,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,2,1,eccaea7657a3dd5dbbd971b8e8b3241a91d1ca410328baba884afa75ee229b41,新北市金山區金美國民小學附設幼兒園,新北市,金山區,公立,[208]忠孝一路111號,(02)24986503#704,http://tw.class.uschoolnet.com/class/?csid=css000000157328,76,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,2,2,eccaea7657a3dd5dbbd971b8e8b3241a91d1ca410328baba884afa75ee229b41,新北市金山區金山國民小學附設幼兒園,新北市,金山區,公立,[208]中山路234號,(02)24981125#301,http://163.20.84.65/,106,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,2,3,eccaea7657a3dd5dbbd971b8e8b3241a91d1ca410328baba884afa75ee229b41,財團法人天主教聖母聖心會附設新北市私立天仁幼兒園,新北市,金山區,私立,[208]中正路25號1樓,(02)24982423,http:www.kjftw.org.tw/school19/,60,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,2,4,eccaea7657a3dd5dbbd971b8e8b3241a91d1ca410328baba884afa75ee229b41,新北市板橋區莒光國民小學附設幼兒園,新北市,板橋區,公立,[220]莒光路163號,(02)82597020,http://www.jges.ntpc.edu.tw/,120,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,2,5,eccaea7657a3dd5dbbd971b8e8b3241a91d1ca410328baba884afa75ee229b41,新北市板橋區後埔國民小學附設幼兒園,新北市,板橋區,公立,[220]重慶路157號,(02)29614142#862,https://sites.google.com/hpes.ntpc.edu.tw/hpes,120,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,2,6,eccaea7657a3dd5dbbd971b8e8b3241a91d1ca410328baba884afa75ee229b41,新北市立忠孝國民中學附設幼兒園,新北市,板橋區,公立,[220]重慶路168號,(02)29631350#601,https://reurl.cc/aE448l,120,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,2,7,eccaea7657a3dd5dbbd971b8e8b3241a91d1ca410328baba884afa75ee229b41,新北市板橋區溪洲國民小學附設幼兒園,新北市,板橋區,公立,[220]金門街289號,(02)26867705#83,http://sips015.blogspot.com/,120,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,2,8,eccaea7657a3dd5dbbd971b8e8b3241a91d1ca410328baba884afa75ee229b41,新北市立江翠國民中學附設幼兒園,新北市,板橋區,公立,[220]松江街63-2號,(02)22518007#280,http://www.ctjh.ntpc.edu.tw,210,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,2,9,eccaea7657a3dd5dbbd971b8e8b3241a91d1ca410328baba884afa75ee229b41,新北市板橋區板橋國民小學附設幼兒園,新北市,板橋區,公立,[220]文化路一段23號,(02)29686834#860,http://tw.class.uschoolnet.com/class/?csid=css000000153402,180,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,2,10,eccaea7657a3dd5dbbd971b8e8b3241a91d1ca410328baba884afa75ee229b41,新北市板橋區江翠國民小學附設幼兒園,新北市,板橋區,公立,[220]文化路二段413號,(02)22506374,https://www.ctes.ntpc.edu.tw/p/426-1000-22.php,152,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,3,1,b773367ce9b9403bc555f1f6cea8be2589a39c756ed5a6bf44ff246c28b60371,新北市板橋區大觀國民小學附設幼兒園,新北市,板橋區,公立,[220]大觀路一段30號,(02)29603373#880,http://163.20.6.1/default.asp,210,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,3,2,b773367ce9b9403bc555f1f6cea8be2589a39c756ed5a6bf44ff246c28b60371,新北市板橋區中山國民小學附設幼兒園,新北市,板橋區,公立,[220]大觀路二段59巷31號,(02)22755313#181,http://tw.myblog.yahoo.com/jw!9F6pukqIAx.LUF4yzBHQufo-,180,無,+ 檢視前期評鑑,2
2026-09-03-ntpc-full-v1,3,3,b773367ce9b9403bc555f1f6cea8be2589a39c756ed5a6bf44ff246c28b60371,新北市板橋區重慶國民小學附設幼兒園,新北市,板橋區,公立,[220]廣和街31號,(02)29565592#501,http://www.cges.ntpc.edu.tw/,76,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,3,4,b773367ce9b9403bc555f1f6cea8be2589a39c756ed5a6bf44ff246c28b60371,新北市板橋區文德國民小學附設幼兒園,新北市,板橋區,公立,[220]英士路179號,(02)22577193#36,http://teacher.wdps.tpc.edu.tw/child/,120,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,3,5,b773367ce9b9403bc555f1f6cea8be2589a39c756ed5a6bf44ff246c28b60371,新北市板橋區海山國民小學附設幼兒園,新北市,板橋區,公立,[220]漢生東路280號,(02)29545725#545,http://www.hsps.ntpc.edu.tw/kindergarten.htm,90,無,+ 檢視前期評鑑,2
2026-09-03-ntpc-full-v1,3,6,b773367ce9b9403bc555f1f6cea8be2589a39c756ed5a6bf44ff246c28b60371,新北市板橋區信義國民小學附設幼兒園,新北市,板橋區,公立,[220]四川路二段245巷60號,(02)89667817#171,https://sites.google.com/thyes.ntpc.edu.tw/xinyikindy,212,無,+ 檢視前期評鑑,2
2026-09-03-ntpc-full-v1,3,7,b773367ce9b9403bc555f1f6cea8be2589a39c756ed5a6bf44ff246c28b60371,新北市立重慶國民中學附設幼兒園,新北市,板橋區,公立,[220]國慶路221號,(02)29543001#602,http://tw.class.uschoolnet.com/class/?csid=css000000160567,180,無,+ 檢視前期評鑑,2
2026-09-03-ntpc-full-v1,3,8,b773367ce9b9403bc555f1f6cea8be2589a39c756ed5a6bf44ff246c28b60371,新北市立板橋幼兒園,新北市,板橋區,公立,[220]中正路375巷48號,02-29682497,https://29688299.blogspot.com/,126,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,3,9,b773367ce9b9403bc555f1f6cea8be2589a39c756ed5a6bf44ff246c28b60371,新北市立板橋幼兒園新民分班,新北市,板橋區,公立,[220]懷德街235巷2號,(02)22558468,核定人數： 93,93,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,3,10,b773367ce9b9403bc555f1f6cea8be2589a39c756ed5a6bf44ff246c28b60371,新北市立板橋幼兒園和平分班,新北市,板橋區,公立,[220]重慶路355號,02-29646945,核定人數： 93,93,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,4,1,17ea4a1a47a57f8d65a26656621526b692394b5df7c426a168e447c0e5505a6e,新北市板橋區文聖國民小學附設幼兒園,新北市,板橋區,公立,[220]文聖街86號,(02)22530782#628,http://www.wses.ntpc.edu.tw//,212,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,4,2,17ea4a1a47a57f8d65a26656621526b692394b5df7c426a168e447c0e5505a6e,新北市立溪崑國民中學附設幼兒園,新北市,板橋區,公立,[220]大觀路三段50巷30號,(02)26869727#500,http://www.ckjhs.ntpc.edu.tw/,136,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,4,3,17ea4a1a47a57f8d65a26656621526b692394b5df7c426a168e447c0e5505a6e,新北市板橋區沙崙國民小學附設幼兒園,新北市,板橋區,公立,[220]篤行路二段132號,(02)26812764#851,http://tw.myblog.yahoo.com/sharon_preschool,196,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,4,4,17ea4a1a47a57f8d65a26656621526b692394b5df7c426a168e447c0e5505a6e,新北市板橋區新埔國民小學附設幼兒園,新北市,板橋區,公立,[220]陽明街206號,(02)22571830#682,http://163.20.77.4/kid/,120,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,4,5,17ea4a1a47a57f8d65a26656621526b692394b5df7c426a168e447c0e5505a6e,新北市板橋區國光國民小學附設幼兒園,新北市,板橋區,公立,[220]中正路325巷30號,(02)29680611#518,https://sites.google.com/a/kkes.ntpc.edu.tw/xin-bei-shi-guo-guang-guo-xiao-you-er-yuan,210,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,4,6,17ea4a1a47a57f8d65a26656621526b692394b5df7c426a168e447c0e5505a6e,新北市立新埔國民中學附設幼兒園,新北市,板橋區,公立,[220]新海路181號,(02)22572275#288,https://www.hpjh.ntpc.edu.tw/,240,無,+ 檢視前期評鑑,1
2026-09-03-ntpc-full-v1,4,7,17ea4a1a47a57f8d65a26656621526b692394b5df7c426a168e447c0e5505a6e,新北市板橋區實踐國民小學附設幼兒園,新北市,板橋區,公立,[220]實踐路93巷51號,(02)29531233#700,https://sites.google.com/view/sjpsece/,256,無,+ 檢視前期評鑑,1
