snapshot_id,page,row_index,response_sha256,title,city,town,establishment_type,address,phone,website,approved_capacity,after_school,evaluation_academic_year,evaluation_completed_date,evaluation_result,evaluation_report_label
2026-09-03-ntpc-full-v1,1,1,7a15896aa64afb6f03f2d659df82355b388e5af651a62a2983fd790591bafd26,新北市立萬里幼兒園,新北市,萬里區,公立,[207]瑪鋉路221號2樓,(02)24921670,https://wanlipreschool.blogspot.com/,105,無,112,2023/10/04,基礎評鑑－全數指標通過,檢視
2026-09-03-ntpc-full-v1,1,1,7a15896aa64afb6f03f2d659df82355b388e5af651a62a2983fd790591bafd26,新北市萬里區萬里國民小學附設幼兒園,新北市,萬里區,公立,[207]瑪鋉路18號,(02)24922034#60,https://www.wlps.ntpc.edu.tw/index.php,106,無,112,2023/10/04,基礎評鑑－全數指標通過,檢視
2026-09-03-ntpc-full-v1,1,1,7a15896aa64afb6f03f2d659df82355b388e5af651a62a2983fd790591bafd26,新北市萬里區大鵬國民小學附設幼兒園,新北市,萬里區,公立,[207]萬里加投14號,(02)24988131#37,,30,無,112,2023/10/12,基礎評鑑－全數指標通過,檢視
2026-09-03-ntpc-full-v1,1,1,7a15896aa64afb6f03f2d659df82355b388e5af651a62a2983fd790591bafd26,新北市萬里區野柳國民小學附設幼兒園,新北市,萬里區,公立,[207]港東路167號,(02)24922512#18,https://sites.google.com/a/ylps.ntpc.edu.tw/yelu18/,30,無,112,2023/10/12,基礎評鑑－全數指標通過,檢視
2026-09-03-ntpc-full-v1,1,1,7a15896aa64afb6f03f2d659df82355b388e5af651a62a2983fd790591bafd26,新北市萬里區大坪國民小學附設幼兒園,新北市,萬里區,公立,[207]大坪路1號,(02)24929461#71,http://dpkg.weebly.com/,30,無,112,2023/10/12,基礎評鑑－全數指標通過,檢視
2026-09-03-ntpc-full-v1,1,1,7a15896aa64afb6f03f2d659df82355b388e5af651a62a2983fd790591bafd26,新北市私立大鵬幼兒園,新北市,萬里區,私立,[207]萬里加投70之3號1、2樓,(02)24980811,,216,無,112,2023/10/12,基礎評鑑－全數指標通過,檢視
2026-09-03-ntpc-full-v1,1,1,7a15896aa64afb6f03f2d659df82355b388e5af651a62a2983fd790591bafd26,新北市私立天心幼兒園,新北市,萬里區,私立,[207]瑪鋉下街17號1、2樓,(02)24922742,tian.shin2742@gmail.com,50,無,112,2023/10/12,基礎評鑑－部分指標通過,檢視
2026-09-03-ntpc-full-v1,1,2,7a15896aa64afb6f03f2d659df82355b388e5af651a62a2983fd790591bafd26,新北市私立天心幼兒園,新北市,萬里區,私立,[207]瑪鋉下街17號1、2樓,(02)24922742,tian.shin2742@gmail.com,50,無,112,2024/05/14,追蹤評鑑－全數指標通過,檢視
2026-09-03-ntpc-full-v1,1,1,7a15896aa64afb6f03f2d659df82355b388e5af651a62a2983fd790591bafd26,新北市金山區三和國民小學附設幼兒園,新北市,金山區,公立,[208]六股林口38號,(02)24080417#15,新北市金山區三和國民小學,30,無,112,2023/10/03,基礎評鑑－全數指標通過,檢視
2026-09-03-ntpc-full-v1,1,1,7a15896aa64afb6f03f2d659df82355b388e5af651a62a2983fd790591bafd26,新北市金山區中角國民小學附設幼兒園,新北市,金山區,公立,[208]海興路49號,(02)24986498,https://www.jjps.ntpc.edu.tw/p/412-1000-761.php,30,無,112,2023/10/03,基礎評鑑－全數指標通過,檢視
